intervalli,trapezi,simpson,gauss
1,300.400252884475537575285433430681894934014775820638,417.8077683550236335115029616847558823314866942,47.2431989282281470898471020322827902537835160477701
4,59.7744311751515144178262720015544458075550882137266,39.9541496392854760538790676457088963918870609570142,0.00379275430312367191247458412433134395959900751743385
9,5.58791828268595895949915356953138243983034113884164,8.99050420850584329470206115558107789343824626927361,4.53807606383950538984511313170691066473001781491153e-06
16,1.69872275069242412014284274919051462337485408458751,0.0396678973973967418941052347450421011464115239736435,1.40702678652363404702353165941020750968499683119188e-08
25,0.699631743909309020696401783372198406960156494387707,0.0055013249300802150835036029410703059021737947600288,1.06596882703767207075520867690355396828036718752956e-10
36,0.338208090278115229205209007414947077606351339644623,0.00279598485882765604146906693715424480282905419064882,2.45709285670817405533186210828867745404639450958723e-12
49,0.182750084440487289928240955770944477735403678161476,0.000885061421582730853727327653286578051504112239170512,1.0710377326391187893299256723947033395435180962399e-13
64,0.10718053785656013894712859584040622613250893252252,0.000311985138482403307489473396515792050529061262762958,7.23944562837652271887265935726071766484144885587019e-15
81,0.0669309172555354603179837839988916777979205087070707,0.000122925322165028142551427031283440627751769680339047,6.78101805257506352484897513699078251438226989010841e-16
100,0.0439203804470579683397885581510963537622744855153461,5.32072284295295478157607488997823095606903978794854e-05,8.18997878533858238970386306358334124080731673249265e-17
121,0.0300011089110248704486311271692047898012431634734123,2.489847400792645087025166310094946263552406167229e-05,1.21473333591086817728421537981068349183242741570869e-17
144,0.0211840824372045932809638962442519145061487638634414,1.24359096940659115714471975114656878699331373409065e-05,2.14292919344997671314118730049942663546214215513844e-18
169,0.0153807935924048022667994857498186638427066405949108,6.56297150066265081759573683710650637300448403267823e-06,4.43398623848963919240279877739425532898475518943068e-19
196,0.0114354147068480943053838481932148956150393970111489,3.63052597658789529666008899971383984114391316263342e-06,1.09089591918939310474234748814375508671825229726933e-19
225,0.008677754322233188085820533333895643839779497347886,2.09171580168595334295028695334834196480467827930186e-06,3.36287211768425527856029904730027685567887321605224e-20
256,0.00670345066050551924113221330187041915154431887163008,1.24865453141834395071718657864463002507283089086834e-06,1.38603350900575220336548721236256160266536994071044e-20
289,0.00526001546328368464841408362143900267426670082472388,7.69013182732086083415624712746829044227545685669058e-07,7.6134685859656054714822320508023474294817133109975e-21
324,0.00418500452892271467188581697661077643676811403021021,4.8689604647777806508847896751764668736223253375552e-07,5.10827847858225490876233436430967098436634462023688e-21
361,0.00337111840622444706612888239168193795463856109130192,3.15977538875034302849642503311823892421026341745187e-07,3.81897780242397343837618364423080860785507087502609e-21
400,0.00274580895124701133198666158927968744435516641570743,2.09651370157206714721347193783141548606356991685308e-07,3.01252586952288405957889048534484781971970191570698e-21
441,0.00225899146717139953824082429814262741568144228711116,1.41913662678813689499378700695496960251327934108621e-07,2.44406656136329022495307710991793533662729227268388e-21
484,0.00187543581125091674023760798736625344583010033954555,9.78203662655192651863175594977098835190651935755853e-08,2.01643656426016778435201330040932339591562204720666e-21
529,0.00156993801767687211838834907336075462913405139116976,6.85509733082600316717994780223037581057795403042219e-08,1.68309682173408686548044917563720730388292801138097e-21
576,0.00132418793303782844088642523829258867984714821606581,4.87715924149678473417726713998757280228750411914562e-08,1.41767697654645534764821711830166131323980225738149e-21
625,0.00112469602613583207934132730000549146060231047552987,3.51846691347168838688779700970927337183203947753129e-08,1.20328542211984807163630911305152533330604888645627e-21
676,0.00096139596865113555144587362471458314996359382145924,2.57099003721385344948049885306403144170221233431667e-08,1.02822306897939801694735735541608259978989116219034e-21
729,0.000826686867923100847622084737764017844532506993836098,1.90102709351891029069393727429520888523633882459957e-08,8.83993968164324725322794104918319190323304162496621e-22
784,0.000714766695114452946825461486767078015935857250521776,1.42116173231750536513787076578153564125992737933225e-08,7.64243873644497333020870254836210240872944162447938e-22
841,0.000621161778370266041480543223548865102705082862570903,1.07332581999256025201857682078000558481760733744898e-08,6.64126007958304654069477695555613207072857321455764e-22
900,0.000542390326493239323900481723192345692610634509346913,8.18374498635267655549215995778130547560990171579629e-09,5.7989010339918393641858836742886959972686644893133e-22
961,0.000475718871774476905315738642923009952274310646456239,6.29555656379862686992817379464631675313650346926419e-09,5.08601312919997740381555692264054442722103106129654e-22
1024,0.000418983975924671281330065631995207125558620603990588,4.88351561385955125059776510814056789526492472193036e-09,4.47940960355783949528490871373405898303170830899744e-22
1089,0.000370460334042925983787357688317179108921454467575251,3.81790334460754344976923031943311509256101063648628e-09,3.96061820522877390022053910830651254409613803558057e-22
1156,0.000328762240351228791374416094154087689735156532452214,3.00682798971971152008130059119519486068857976623579e-09,3.51481138385824312655621029288728786613603899136691e-22
1225,0.000292769297594655573030366865171188179755564233215532,2.38450678480171063425092699292175922146957291531624e-09,3.13000463377631482310930657391198044556699429434757e-22
1296,0.000261569919872648332017908068447502396357058098125181,1.90338002962191660431575424370530196850226272705131e-09,2.79644904551058631405620261069631539196511222446085e-22
1369,0.000234418017183801707160798180160657142530823875683095,1.52874124173077071682967516533117009869278290000477e-09,2.50616659247513411428037311397343759365342090053278e-22
1444,0.000210699531339173832562961880506834787662038109120572,1.23503986339890576021732005382842043953614271909207e-09,2.25259158024403990582016752886782903144588761446628e-22
1521,0.000189906395501303522484678087915984786766360436295953,1.00330880277469590538362062913533624136611211349186e-09,2.03029186146822342742517880507725171365164472460895e-22
1600,0.000171616131798279846622318389321251901903635161059357,8.19356814819508510318674050340059636191621062448024e-10,1.83475052091629339285712302903689705583855391003848e-22
1681,0.000155475762714181051218518177013823205908520929145386,6.72486375576571430920861222512268003215847415476324e-10,1.66219377440447753396621869824122289601854351400733e-22
1764,0.000141189046223762656432748660796482334910189389064544,5.54576176615993724859584941499002433817614628123851e-10,1.5094544495762023167351827352544637160716007606731e-22
1849,0.000128506288939452975354359117391859403284530450934485,4.59418990307663510721181157786838867713525739134848e-10,1.37386305242187724610276304534711089545800474568753e-22
1936,0.000117216171525829710417158028909491443241128056022106,3.82239984681935409909730942321380175507825284955941e-10,1.25316035938738254757314078842403799759072237817972e-22
2025,0.000107139154256548212794458408393598777675192824136562,3.19343628047630074934168653819658603655839255422237e-10,1.14542690923694356764777230791295928792182297484038e-22
2116,9.81221305080992287279962456933375751003405198218782e-05,2.67852967254495027385873365444770722907503154459594e-10,1.0490258399786445965361692799695195543592516586733e-22
2209,9.00340712211912803750247845721418431293012403808017e-05,2.25515773993543844730588903729250813072854877769397e-10,9.62556321991431271385221833001902473078134699827911e-23
2304,8.27624603856086877952062496554962462479294201441524e-05,1.90559451420304705094540801301148822119246880816539e-10,8.84815448909250446405450514629190725837834112388323e-23
2401,7.62103650987043479536037284513158730380032929042615e-05,1.61581746371062817096237650145528446206742133655415e-10,8.1476691321283894020108933366126105115440407988489e-23
2500,7.02940171215669206028183692960398761239338033332177e-05,1.37467930699978281978014413087766729515682216554957e-10,7.51515150488893426362131881736643575252794527949749e-23
2601,6.49408086127000515158644842040870179401642195193083e-05,1.17327675485730030360854376462830950216133211942343e-10,6.94283911782458600754893839660580850732565108951844e-23
2704,6.00876247052900354261969827854762037292199047503359e-05,1.00446666801861052135669010813610378119186029522046e-10,6.42398437200346505082821879104228451358262973134279e-23
2809,5.56794511851860670033086207942254586641189631639148e-05,8.62493217815294228565731036756691375026126596172584e-11,5.9527057063885811335261828660220058951204810954493e-23
2916,5.16682077507423681701429557791719556889813676340159e-05,7.42699104946253319263174201998931483476329450793244e-11,5.52386286212959987992949458589954566538847192324162e-23
3025,4.80117669664198429645481275485778565545259901350334e-05,6.41300778697163405950212556740274882379218749766772e-11,5.13295199935303856556509308061382042946432701453117e-23
3136,4.46731266451175199890174066002134496262183076838249e-05,5.55212640120217380695730090492730118511405619283056e-11,4.77601721696382702783804062888436307144345129206671e-23
3249,4.16197094552340323146863304010081966992442140704254e-05,4.81908924866809313198478622549576594728321830552485e-11,4.44957567397931689275425077570993050800420293428187e-23
3364,3.88227683883519578276667831348775106980540872052594e-05,4.19314710710639162510215689006998141307873451097354e-11,4.15055402836093603958410050218622131190635315766221e-23
3481,3.62568806043031748471151997736282139447495316002149e-05,3.65719542377730530517166615193685096257570684043081e-11,3.87623432421677126765526386427275544169355181011071e-23
3600,3.38995152947215679847684062564337274764802183290952e-05,3.19708699415935591269192143605913173421569457061431e-11,3.62420779227391760326302197711525508679349344040833e-23
3721,3.17306637312176814659188659884149086822965666943015e-05,2.80108286688063802695253243081718492689168938997962e-11,3.39233529847010313259770632722339775409620725000772e-23
3844,2.9732521712594321735688407055369124096810629568003e-05,2.45941199814420019761597941161949442220856029289608e-11,3.17871339449538496054844487724914641178728544575979e-23
3969,2.7889216293060149261836225804533684971191392678913e-05,2.16391681188858175085200027144851014710609895315396e-11,2.98164510239016826501104464372765745356133443718524e-23
4096,2.61865700356891291201188563741346510189942203460023e-05,1.90776688654800334446667430946089480261462119597112e-11,2.79961471094726867430587023333433483114792453784556e-23
4225,2.46118971520370907946400960584455572830296900831614e-05,1.68522687377720639727518126941875921986936214316973e-11,2.6312659810472689803138517386966041582599394259308e-23
